order_id,order_date,order_status,store_name,customer_name,state,product_name,category_name,brand_name,quantity,list_price,discount,line_total,current_stock
1,01-01-2016,4,Santa Cruz Bikes,Johnathan Velazquez,CA,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Electra,1,599.99,0.2,479.992,26
1,01-01-2016,4,Santa Cruz Bikes,Johnathan Velazquez,CA,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Trek,2,1799.99,0.07,3347.9814,0
1,01-01-2016,4,Santa Cruz Bikes,Johnathan Velazquez,CA,Surly Straggler - 2016,Cyclocross Bicycles,Surly,2,1549,0.05,2943.1,15
1,01-01-2016,4,Santa Cruz Bikes,Johnathan Velazquez,CA,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Electra,2,599.99,0.05,1139.981,4
1,01-01-2016,4,Santa Cruz Bikes,Johnathan Velazquez,CA,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Trek,1,2899.99,0.2,2319.992,23
2,01-01-2016,4,Baldwin Bikes,Jaqueline Cummings,NY,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Electra,1,599.99,0.07,557.9907,20
2,01-01-2016,4,Baldwin Bikes,Jaqueline Cummings,NY,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Electra,2,599.99,0.05,1139.981,20
3,02-01-2016,4,Baldwin Bikes,Joshua Robertson,NY,Surly Wednesday Frameset - 2016,Mountain Bikes,Surly,1,999.99,0.05,949.9905,28
3,02-01-2016,4,Baldwin Bikes,Joshua Robertson,NY,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Electra,1,599.99,0.05,569.9905,20
4,03-01-2016,4,Santa Cruz Bikes,Nova Hess,CA,Ritchey Timberwolf Frameset - 2016,Mountain Bikes,Ritchey,2,749.99,0.1,1349.982,5
5,03-01-2016,4,Baldwin Bikes,Arla Ellis,NY,Surly Straggler - 2016,Cyclocross Bicycles,Surly,2,1549,0.05,2943.1,13
5,03-01-2016,4,Baldwin Bikes,Arla Ellis,NY,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Pure Cycles,1,429,0.07,398.97,3
5,03-01-2016,4,Baldwin Bikes,Arla Ellis,NY,Electra Townie Original 7D EQ - 2016,Comfort Bicycles,Electra,1,599.99,0.07,557.9907,2
6,04-01-2016,4,Baldwin Bikes,Sharyn Hopkins,NY,Pure Cycles Western 3-Speed - Women's - 2015/2016,Cruisers Bicycles,Pure Cycles,1,449,0.07,417.57,13
6,04-01-2016,4,Baldwin Bikes,Sharyn Hopkins,NY,Electra Townie Original 21D - 2016,Cruisers Bicycles,Electra,2,549.99,0.05,1044.981,2
6,04-01-2016,4,Baldwin Bikes,Sharyn Hopkins,NY,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Electra,1,599.99,0.1,539.991,20
6,04-01-2016,4,Baldwin Bikes,Sharyn Hopkins,NY,Surly Wednesday Frameset - 2016,Mountain Bikes,Surly,2,999.99,0.07,1859.9814,28
6,04-01-2016,4,Baldwin Bikes,Sharyn Hopkins,NY,Trek Conduit+ - 2016,Electric Bikes,Trek,2,2999.99,0.07,5579.9814,17
7,04-01-2016,4,Baldwin Bikes,Laureen Paul,NY,Electra Moto 1 - 2016,Cruisers Bicycles,Electra,1,529.99,0.07,492.8907,6
7,04-01-2016,4,Baldwin Bikes,Laureen Paul,NY,Surly Wednesday Frameset - 2016,Mountain Bikes,Surly,1,999.99,0.1,899.991,28
7,04-01-2016,4,Baldwin Bikes,Laureen Paul,NY,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Pure Cycles,2,429,0.1,772.2,3
8,04-01-2016,4,Baldwin Bikes,Leslie Higgins,NY,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Electra,1,269.99,0.05,256.4905,0
8,04-01-2016,4,Baldwin Bikes,Leslie Higgins,NY,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Electra,2,599.99,0.07,1115.9814,20
9,05-01-2016,4,Santa Cruz Bikes,Neil Mccall,CA,Trek Slash 8 27.5 - 2016,Mountain Bikes,Trek,2,3999.99,0.1,7199.982,8
10,05-01-2016,4,Baldwin Bikes,Alane Munoz,NY,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Electra,1,269.99,0.1,242.991,18
11,05-01-2016,4,Baldwin Bikes,Tarra Guerrero,NY,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Trek,1,1799.99,0.05,1709.9905,1
11,05-01-2016,4,Baldwin Bikes,Tarra Guerrero,NY,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Electra,2,269.99,0.1,485.982,0
11,05-01-2016,4,Baldwin Bikes,Tarra Guerrero,NY,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Electra,2,599.99,0.2,959.984,20
12,06-01-2016,4,Santa Cruz Bikes,Marvin Mullins,CA,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Trek,2,2899.99,0.1,5219.982,23
12,06-01-2016,4,Santa Cruz Bikes,Marvin Mullins,CA,Surly Straggler 650b - 2016,Cyclocross Bicycles,Surly,1,1680.99,0.05,1596.9405,8
13,08-01-2016,4,Baldwin Bikes,Patience Clayton,NY,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles,Electra,1,269.99,0.1,242.991,1
